DESGLOSE DE PRESUPUESTO;;;;;TIPO DE CAMBIO:;610;;
N;DESCRIPCCION;CANTIDAD;UNIDAD;PRECIO UNITARIO;TOTAL (COLONES);TOTAL (DOLARES);;
FUNDACIONES;;;;;;;;
;TRACK;118;und;?5.000,00;?591.869,92;$970,28;;
;STUDS;148;und;?6.025,00;?891.504,07;$1.461,48;;
;TORNILLOS FRIJOLITO;8878;und;?7,60;?67.473,17;$110,61;;
;GALÓN DE MINIO ROJO;15;galón;?23.600,00;?349.203,25;$572,46;;
;REPELLO;326;sacos;?4.250,00;?1.383.495,93;$2.268,03;;
;CEMENTICIO;53;sacos;?5.425,00;?288.980,49;$473,74;;
;ROLLOS DE 15,87m AISLANTE ACUSTICO PARA PAREDES TIPO LANA DE FIBRA DE VIDRIO, TIPO R11, DE 3.5 PULGADAS DE ESPESOR;21;rollos;?55.015,00;?1.139.660,33;$1.868,30;;
PAREDES DE MAMPOSTERIA 1 NIVEL;;140;m2;?14.910,68;?2.087.495,00;$3.422,12;;
;BLOQUE DE MAMPOSTERIA DE 15X20X40;2195;un;?600,00;?1.317.000,00;$2.159,02;;
;VARILLA #3 HORIZONTAL;80;un;?2.350,00;?188.000,00;$308,20;;
;ALAMBRE NEGRO;17;kg;?1.050,00;?17.850,00;$29,26;;
CONCRETO DE RELLENO;CEMENTO;43;sacos;?6.525,00;?280.575,00;$459,96;;
CONCRETO DE RELLENO;ARENA;3;m3;?23.725,00;?71.175,00;$116,68;;
CONCRETO DE RELLENO;PIEDRA;5;m3;?23.000,00;?115.000,00;$188,52;;
;CEMENTO PARA PEGA DE BLOQUES;14;sacos;?6.525,00;?91.350,00;$149,75;;
;ARENA PARA PEGA DE BLOQUES;1,7;m3;?3.850,00;?6.545,00;$10,73;;
PINTURA;;140;m2;?22.135,71;?3.099.000,00;$5.080,33;;
;BLOQUE DE MAMPOSTERIA DE 15X20X40;2195;un;?600,00;?1.317.000,00;$2.159,02;;
ACABADO DE PAREDES NIVEL1;;3,6;m;;;;;
TIPO 01;;39,6;ml;;;$2.921,31;;
;ACABADO EN CONCRETO PULIDO O SIMILAR CON DOS MANOS DE SELLADOR;142,6;m2;?12.500,00;?1.782.000,00;$2.921,31;;
TIPO 02;;173,3;ml;;;$0,00;;
;PAREDES CON REPELLO FINO, EMPASTE, LIJADO Y 2 MANOS DE PINTURA PARA INTERIORES;623,9;m2;;?0,00;$0,00;;
TIPO 03;;45,8;ml;;?0,00;$0,00;;
;PAREDES CON REPELLO FINO, EMPASTE, LIJADO Y 2 MANOS DE PINTURA PARA EXTERIORES;164,9;m2;;?0,00;$0,00;;
TIPO 04;;7;ml;;;$1.445,90;;
;ENCHAPE DE PARED CON ACABADO TIPO MADERA;25,2;m2;?35.000,00;?882.000,00;$1.445,90;;
TIPO 05;;9,2;ml;;;$636,20;;
;ENCHAPE DE BAÑO ANTIDESLIZANTE CON PORCELANATO HASTA 1,2 m DE ALTURA DE FORMATO Y TIPO A ESCOGER;11,1;m2;?35.000,00;?388.080,00;$636,20;;
TIPO 07;;142;m;;;$51.213,11;;
;BARANDAS DE 1M DE ALTURA DE CUATRO CABLES CON ACABADO COLOR NEGRO;142;m;?220.000,00;?31.240.000,00;$51.213,11;;
TIPO 08;;20,4;ml;;;$5.409,74;;
;ENCHAPE DE PARED DE PIEDRA;73,3;m2;?45.000,00;?3.299.940,00;$5.409,74;;
TIPO 09;;4;un;;;$0,00;;
;PIEZAS METALICAS CON PINTURA CON UNA MANO DE MINIO Y 2 MANOS DE ANTICORROSIVO TIPO CORROSTYL O SIMILAR;;;;?0,00;$0,00;;
TIPO 10;;5,3;ml;;;$0,00;;
;CERRAMIENTO CON REJA METALICA PERFORADA;18,9;m2;;?0,00;$0,00;;
ENTREPISOS Y CONTRAPISOS;;;;;;;;
